,region,Year,Month number,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,assault_rate,sin_month,cos_month,pct_aboriginal,pct_male,pct_youth,pct_senior,alcohol_per_capita,full-strength_beer_pac_per_capita,mid-strength_beer_pac_per_capita,low-strength_beer_pac_per_capita,cask_wine_pac_per_capita,bottled_wine_pac_per_capita,fortified_wine_pac_per_capita,beer_per_capita,wine_per_capita,assault_rate_lag1,assault_rate_lag3
92,East Arnhem,2025,9,4,2,15353,10684,4669,7754,7599,1113,1286,1417,1309,1284,1452,1471,1191,959,1225,789,719,534,317,157,86,31,13,41,1939,51,419,2834,1970,5347,2967,68,15637,102,6.64365270631147,-1.0,-1.8369701987210297e-16,0.6958900540610955,0.5050478733797955,0.17755487526867714,0.0393408454373738,1.0184980134175732,0.34827069628085716,0.19325213313358952,0.004429101804207647,0.0026704878525369634,0.1262945352699798,0.003321826353155735,0.5459519312186544,0.1322868494756725,6.317983456002084,4.559369504331401
93,East Arnhem,2025,10,4,4,15353,10684,4669,7754,7599,1113,1286,1417,1309,1284,1452,1471,1191,959,1225,789,719,534,317,157,86,31,13,33,1191,26,363,3129,2002,4335,2628,79,13786,119,7.750928157363382,-0.8660254037844386,0.5000000000000001,0.6958900540610955,0.5050478733797955,0.17755487526867714,0.0393408454373738,0.8979352569530384,0.2823552400182375,0.17117175796261316,0.005145574154888296,0.002149417052041946,0.0775744154236957,0.001693480101608806,0.4586725721357389,0.08141731257734644,6.64365270631147,5.666644955383313
94,East Arnhem,2025,11,4,4,15353,10684,4669,7754,7599,1113,1286,1417,1309,1284,1452,1471,1191,959,1225,789,719,534,317,157,86,31,13,33,1191,26,363,3129,2002,4335,2628,79,13786,146,9.509542109034065,-0.5000000000000004,0.8660254037844384,0.6958900540610955,0.5050478733797955,0.17755487526867714,0.0393408454373738,0.8979352569530384,0.2823552400182375,0.17117175796261316,0.005145574154888296,0.002149417052041946,0.0775744154236957,0.001693480101608806,0.4586725721357389,0.08141731257734644,7.750928157363382,6.317983456002084
95,East Arnhem,2025,12,5,4,15353,10684,4669,7754,7599,1113,1286,1417,1309,1284,1452,1471,1191,959,1225,789,719,534,317,157,86,31,13,33,1191,26,363,3129,2002,4335,2628,79,13786,111,7.229857356868365,-2.4492935982947064e-16,1.0,0.6958900540610955,0.5050478733797955,0.17755487526867714,0.0393408454373738,0.8979352569530384,0.2823552400182375,0.17117175796261316,0.005145574154888296,0.002149417052041946,0.0775744154236957,0.001693480101608806,0.4586725721357389,0.08141731257734644,9.509542109034065,6.64365270631147
96,Greater Darwin,2024,1,6,5,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,5961,44222,633,6928,54917,26966,71388,45569,1941,258525,1389,8.913445248729401,0.49999999999999994,0.8660254037844387,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,1.6589981518558448,0.45810873248113354,0.2924238923969403,0.01245572154628061,0.03825273371322963,0.28377996817085066,0.004062066841213615,0.7629883464243544,0.3260947687252939,,
97,Greater Darwin,2024,2,6,5,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,5961,44222,633,6928,54917,26966,71388,45569,1941,258525,1322,8.483495045946917,0.8660254037844386,0.5000000000000001,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,1.6589981518558448,0.45810873248113354,0.2924238923969403,0.01245572154628061,0.03825273371322963,0.28377996817085066,0.004062066841213615,0.7629883464243544,0.3260947687252939,8.913445248729401,
98,Greater Darwin,2024,3,6,6,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,5961,44222,633,6928,54917,26966,71388,45569,1941,258525,1298,8.329483033009907,1.0,6.123233995736766e-17,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,1.6589981518558448,0.45810873248113354,0.2924238923969403,0.01245572154628061,0.03825273371322963,0.28377996817085066,0.004062066841213615,0.7629883464243544,0.3260947687252939,8.483495045946917,
99,Greater Darwin,2024,4,6,6,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,6979,55441,753,9159,69198,34979,91579,57975,2151,328214,1141,7.3219877817136405,0.8660254037844387,-0.4999999999999998,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,2.106204117254479,0.5876777555315982,0.3720352687509626,0.01380332665947944,0.0447854099286411,0.3557741670516967,0.00483212690589866,0.9735163509420401,0.40539170388623647,8.329483033009907,8.913445248729401
100,Greater Darwin,2024,5,5,5,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,6979,55441,753,9159,69198,34979,91579,57975,2151,328214,1196,7.674931978027619,0.49999999999999994,-0.8660254037844387,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,2.106204117254479,0.5876777555315982,0.3720352687509626,0.01380332665947944,0.0447854099286411,0.3557741670516967,0.00483212690589866,0.9735163509420401,0.40539170388623647,7.3219877817136405,8.483495045946917
101,Greater Darwin,2024,6,6,6,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,6979,55441,753,9159,69198,34979,91579,57975,2151,328214,1095,7.026798090251039,1.2246467991473532e-16,-1.0,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,2.106204117254479,0.5876777555315982,0.3720352687509626,0.01380332665947944,0.0447854099286411,0.3557741670516967,0.00483212690589866,0.9735163509420401,0.40539170388623647,7.674931978027619,8.329483033009907
102,Greater Darwin,2024,7,6,5,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,7442,61966,1446,9119,77654,38319,97072,66450,2341,361809,1113,7.142307099953797,-0.4999999999999997,-0.8660254037844388,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,2.321788849530263,0.6229272549925561,0.42642076081934394,0.015022588428564094,0.04775655834488424,0.39764618306894606,0.009279223779454797,1.0643706042404641,0.4546819651932851,7.026798090251039,7.3219877817136405
